date;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;cat_ddd;category_region;flood
15/09/2016;23,8;33;26,9;86;42;5,3;3;210;1;2;1;1
16/09/2016;23,4;32;27,4;82;14,2;4,9;3;70;1;1;1;0
17/09/2016;23,8;31,8;28,1;82;2;2,5;4;220;2;8;1;0
18/09/2016;25,2;32,2;27,3;89;9;2,4;2;120;0;2;1;0
20/09/2016;24,8;33,2;28;83;15,7;4,9;5;240;2;8;1;0
22/09/2016;25,2;31,5;27,7;85;4,4;3,8;3;250;1;2;1;0
24/09/2016;24,8;33,4;26,7;87;1,7;2,6;3;250;2;8;1;1
25/09/2016;23,4;34;28,4;81;60,5;4,4;3;220;1;8;1;1
26/09/2016;23,2;32,4;27,8;78;11;6,9;6;230;3;7;1;1
28/09/2016;24,2;33;28,2;76;30,9;1,9;3;60;1;1;1;0
29/09/2016;23,4;33;27,6;83;25;4,2;3;200;1;2;1;0
30/09/2016;24,8;29,7;26,7;86;6,3;7,9;2;180;1;2;1;0
01/10/2016;24,8;34;28,4;78;0,5;6,5;5;260;6;8;1;0
04/10/2016;24,4;32,9;26,6;86;0,2;2,2;2;190;2;7;1;1
05/10/2016;24,2;33,8;27,1;84;14,5;3,2;4;170;2;8;1;1
09/10/2016;24;33,6;27,7;80;3;4,3;3;90;5;5;1;0
10/10/2016;24;32,9;25,4;92;1,5;0;2;140;3;8;1;1
11/10/2016;24,1;32,6;27;86;24;1,4;2;90;2;5;1;1
12/10/2016;24,8;30,6;27,1;88;11;0;2;80;3;1;1;1
14/10/2016;24;30;26,3;89;5,4;0;4;260;5;8;1;0
15/10/2016;24,3;32,4;28,1;81;1,4;0,3;3;20;5;8;1;0
22/10/2016;24,2;34;27,6;84;40;1,5;4;90;5;1;1;0
23/10/2016;24,4;28,2;24,7;97;36,4;0;2;230;2;7;1;1
24/10/2016;24;32,8;27;86;29;1,4;3;100;4;1;1;0
25/10/2016;23,8;33;27,7;66;9,7;7;4;130;5;6;1;0
26/10/2016;25,3;34,2;28,6;79;10,5;4,9;4;270;5;8;1;0
27/10/2016;24,6;32,6;26,7;88;3;1,5;5;180;4;7;1;0
28/10/2016;24,2;31,6;26,6;90;41;0,7;3;270;3;6;1;0
29/10/2016;24,2;33,6;27,2;83;2;6,2;3;270;3;6;1;0
30/10/2016;24,4;33,8;27,4;82;1,7;4,5;3;170;3;8;1;0
31/10/2016;23,8;34,2;27,4;82;1,1;5,8;3;190;4;6;1;0
01/11/2016;24,6;34,3;28,1;78;1;6,2;3;260;4;7;1;0
02/11/2016;24,2;33,4;28,2;78;1;4,6;3;250;4;7;1;0
04/11/2016;25,2;33;28,2;78;0,5;1;3;250;3;5;1;0
09/11/2016;23,8;33;26,9;85;41;3,7;4;260;2;7;1;0
10/11/2016;24;33;26,8;85;0,4;5,3;3;220;2;5;1;0
11/11/2016;23,6;33,6;27,3;84;31;3,5;3;260;3;8;1;0
12/11/2016;23,2;33;27,3;85;48;4,6;4;260;3;3;1;0
13/11/2016;25;31,6;26,2;91;16;1,9;3;260;4;8;1;0
14/11/2016;24,2;33;27;89;97;4,7;3;270;3;8;1;0
15/11/2016;23,2;32,8;27;85;14;1,9;3;260;4;8;1;0
16/11/2016;24;32,7;27,5;85;40,3;4,8;2;40;4;3;1;0
03/12/2016;24,2;34,6;28;80;8,5;3,5;7;260;4;8;1;0
05/12/2016;23,4;29,6;24,7;90;7;0,9;5;230;6;8;1;0
06/12/2016;24,6;30,6;27,3;82;6,5;1,8;4;250;4;8;1;0
09/12/2016;24;33,8;27,7;82;17,5;6;5;260;7;8;1;0
11/12/2016;26;32,4;27,4;82;0,2;0,4;7;260;7;8;1;0
12/12/2016;24;32;27,3;80;17;4,8;4;230;5;7;1;0
15/12/2016;23,6;33;27,3;80;9,4;5,9;7;240;6;8;1;0
16/12/2016;25,4;33;28,2;78;0,5;2,7;4;240;5;8;1;0
18/12/2016;24,6;32,6;27,7;84;14;4,6;5;260;6;8;1;0
19/12/2016;25;31,7;27,5;83;12,5;2,9;6;230;7;7;1;0
20/12/2016;25,4;34;28,8;76;1;7,4;6;230;7;8;1;0
23/12/2016;25,6;33;28,2;85;0,4;4,5;7;250;10;8;1;0
26/12/2016;25,4;34,6;28,4;76;2,5;4,3;5;230;4;7;1;0
27/12/2016;24,9;31,8;27,3;79;0,7;5,2;6;270;3;8;1;0
31/12/2016;24,6;35,2;29;76;0,1;7,1;4;260;5;8;1;0
01/01/2017;24;29;24,9;94;6;0,5;4;260;5;8;1;0
02/01/2017;23;30,6;26,2;85;19;1,5;4;270;4;8;1;0
03/01/2017;24;29,2;25;88;0,5;0,6;4;260;5;8;1;0
